Date,Username,Handle,Tweet body
2023-11-13,NA,@dailyklo92,sur les ordis de mon taff ils ont bloqués l’accès à chatgpt  Zerma la je dois travailler pour de vrai nan c’est cruel
2023-11-15,Reb,@NikosEiri,""" Je suis expert dans l'IA. 

Avant ça j'étais diplômé de polytechnique et je me suis reconverti.

Je suis actuellement en train de build in public ma propre IA, qui va venir concurrencer Chat GPT.

J'ai fait gagner 5 milliards+ à 51 278 clients au cours des 15 derniers mois ""…"
1970-01-01,theDeepView,@NA,"ChatGPT has 100,000,000+ users.

But almost NO ONE is using it correctly. Subscribe to the Deep View AI newsletter to learn how for free."
1970-01-01,Frédéric William Kingue,@Frederic_Kingue,"J’ai reçu un CV très particulier aujourd’hui..

J’en rigole encore 

La candidate avait clairement utilisé ChatGPT pour élaborer tout le contenu de son CV.

C’était trop propre même 

Mais après dans l’entretien il y’avait aucune profondeur et je lui ai fais un tas de…"
2023-11-12,𝓓𝓲𝓿𝓲𝓷𝓮 𝓥𝓮𝓷𝓪𝓵𝓲𝓽𝔂 3.0K,@Obeyvenality,"Qui est bon en anglais? Il me faut un soumis devoir qui utilise pas chat GPT.

FinD findom moneymiss paypig"
1970-01-01,NA,@StopZatRyan,C’est quoi la différence entre le chatgpt gratuit et le chatgpt payant ?
2023-11-14,SM,@Shaumi_832,C une dingurie je fais plus confiance à ChatGPT qu’à mon propre cerveau 
2023-11-13,ju,@lianansg_,j’ai jamais utilisé chat gpt
2023-11-14,95%,@Nawfel_95,Les cours c’est devenu grv + facile depuis que chat gpt ça existe
2023-11-15,adm,@advmijr,"ça mfait peur la façon dont j’utilise chat GPT pour tout et n’importe quoi aujd, on dirait un gros assistée de merde qui a besoin de sa tétine mdrrr"
1970-01-01,Man of Steel,@k0fs_,Merci pour tout Chat GPT
2023-11-13,Blvstv,@blvstv253,Jsp comment j’aurai fait si j’avais commencé mes études avant l’arrivée de ChatGPT
2023-11-12,Nina,@bella22yo,"Les mecs, j’ai demandé à chat gpt comment draguer une meuf :"
2023-11-14,NA,@9wd_3liya,Je viens de voir qqn dire qu’il avait jamais utilisé chat gpt pour tricher mais pour optimiser son temps de révision mdr pas à nous
2023-11-14,INFOMONEY™,@infomoneypro,"60 outils d'IA pour ne plus faire vos tâches ennuyeuses :

1. Image

- Leap AI
- Segmind
- Midjourney

2. Recherche

- "
1970-01-01,fln,@__fulani,Chat gpt quand tu sais poser les bonnes questions c’est un outil de travail tellement pratique
2023-11-10,may,@ayaye,moi quand je refuse de lire des articles académiques pour mon mémoire donc je me lance direct dans la rédaction et quand je dis un truc qui sonne un peu trop intelligent je demande à chat gpt qui l'a dit avant moi pour pouvoir le citer (work smart not hard)
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here 
2023-11-14,Dr Sergio Coma,@sergio_coma,"On s'émerveille en utilisant ChatGPT, mais on oublie que derrière, ce sont des milliers de travailleurs sous-payés, parfois des enfants, qui doivent taper à toute vitesse vos réponses, 12 heures par jour, dans des IA farms au Pakistan ou au Xinjiang. Promptez avec éthique SVP "
1970-01-01,béaire,@grenadinepapi,"ChatGPT bug depuis une heure je me sens inutile au bureau, comme une ptite meuf mignonne qui bosse dans le marketing dans un groupe du cac40"
1970-01-01,mhh,@charanouul,pq chat gpt marche pas la javais des questiiions
1970-01-01,𝑮𝒂𝒖𝒕𝒊𝒆𝒓,@Boris_Gauty,"Finalement chatGPT est disponible au Cameroun... Vous pouvez créer vos comptes avec vos numéros au 237  plus besoin de VPN...

#CaParleDev"
