Source,Target,Type,Id,Label,Weight
@haspidox,Feedback,Undirected,4668,,1
@HuguesTrjs,Innovation,Undirected,4669,,10
@Quentin_leads,Conseil,Undirected,4670,,1
@MaitreKoro,Education,Undirected,4671,,2
@Elsa_Trujillo_,Feedback,Undirected,4672,,1
@grisou97160,Education,Undirected,4673,,2
@LeJournalDuCoin,Education,Undirected,4674,,1
@outil_ia,Innovation,Undirected,4675,,1
@AlainGoudey,Conseil,Undirected,4676,,2
@cestJeremiah,Innovation,Undirected,4677,,1
@_Re_,Feedback,Undirected,4678,,1
@peii_henry,Conseil,Undirected,4679,,1
@ActuCryptoCT,Education,Undirected,4680,,1
@coinacademy_fr,Education,Undirected,4681,,8
@FR,Education,Undirected,4685,,2
@FR,Feedback,Undirected,4687,,1
@FR,Conseil,Undirected,4688,,1
@lapagedustoner,Feedback,Undirected,4689,,1
@RaphaelLeCorre,Conseil,Undirected,4690,,1
@MediaParisien,Business,Undirected,4691,,1
@Orange_France,Innovation,Undirected,4693,,1
@YassFox,Innovation,Undirected,4694,,1
@AlainGoudey,Innovation,Undirected,4695,,1
@coinacademy_fr,Business,Undirected,4696,,1
@LaTourEiffel,Education,Undirected,4697,,1
@AlainGoudey,Feedback,Undirected,4701,,2
@AlainGoudey,Education,Undirected,4703,,3
@ThomaSislay,Innovation,Undirected,4705,,2
@KingKongPadre,Conseil,Undirected,4706,,1
@theFox,Education,Undirected,4707,,1
@NikosEiri,Education,Undirected,4708,,1
@FO4zenieme,Education,Undirected,4709,,1
@joseppedrals,Feedback,Undirected,4710,,1
@Thomas_Copy_,Conseil,Undirected,4711,,1
@aliamsi,Conseil,Undirected,4712,,1
@Lecrivain_perdu,Feedback,Undirected,4714,,1
@meydeey,Innovation,Undirected,4715,,1
@ludidemoldefe,Feedback,Undirected,4716,,1
@ZaimIskander,Business,Undirected,4717,,1
@Uneheuredepeine,Business,Undirected,4718,,1
@jesuisla_fr,Education,Undirected,4719,,1
@macLyon,Conseil,Undirected,4720,,1
@JP_O,Business,Undirected,4721,,1
@KassimAbdoulay3,Education,Undirected,4722,,1
@effi_10,Education,Undirected,4723,,1
@OMondieuu,Feedback,Undirected,4724,,1
@THEVENONPierri1,Feedback,Undirected,4725,,1
@fadouce,Business,Undirected,4726,,1
@JeanMarieCAVADA,Education,Undirected,4727,,2
@__C,Education,Undirected,4728,,1
@banzance,Feedback,Undirected,4729,,1
@VeroDruot,Business,Undirected,4730,,1
@spleenobsession,Conseil,Undirected,4731,,1
@audreytipsfr,Feedback,Undirected,4732,,1
@GuillaumeRozier,Conseil,Undirected,4733,,1
@Cheedee,Education,Undirected,4734,,1
@Maitre_de_conf,Feedback,Undirected,4735,,1
@GoyerMel,Innovation,Undirected,4736,,1
@benmathieu,Education,Undirected,4737,,1
@framaka,Conseil,Undirected,4738,,1
@MaitreKoro,Innovation,Undirected,4739,,2
@sffrlttlchldrn,Feedback,Undirected,4740,,1
@seygalare,Conseil,Undirected,4741,,1
@Enz00beats,Business,Undirected,4742,,1
@Paulo_Douard,Innovation,Undirected,4743,,1
@AlexDevecchio,Feedback,Undirected,4744,,1
@Quotes_PS,Education,Undirected,4745,,4
@business_libre_,Innovation,Undirected,4746,,4
@Manwelitto,Conseil,Undirected,4747,,1
@reymondin,Feedback,Undirected,4750,,1
@miraiijo,Innovation,Undirected,4751,,1
@amibiaka,Feedback,Undirected,4752,,1
@camborocma,Education,Undirected,4753,,1
@eric_s60,Education,Undirected,4754,,1
@SinedWarrior,Education,Undirected,4755,,1
@Quentin_AI,Innovation,Undirected,4756,,1
@Disiz,Innovation,Undirected,4757,,7
@Ladji_IA,Innovation,Undirected,4758,,2
@shushant_l,Business,Undirected,4759,,1
@Try2grind,Innovation,Undirected,4760,,2
@IAdvisorFR,Innovation,Undirected,4761,,3
@Ladji_IA,Conseil,Undirected,4762,,1
@AdbsRecherche,Conseil,Undirected,4763,,1
@Deep_GeniusAi,Conseil,Undirected,4764,,1
@maoshxna,Education,Undirected,4765,,1
@hugo_marketing_,Innovation,Undirected,4766,,1
@emmanuelmaurel,Feedback,Undirected,4767,,1
@infomoneypro,Innovation,Undirected,4768,,2
@Disiz,Conseil,Undirected,4769,,4
@AiExplorerFR,Conseil,Undirected,4770,,4
@VChambraud,Innovation,Undirected,4771,,3
@LeDonFR,Business,Undirected,4772,,1
@AxelQuantic,Conseil,Undirected,4773,,3
