Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-08-15,Le Contemplateur,@LeContempIateur,"Nombre d'années qu'il a fallu pour avoir 50 millions d'utilisateurs  :

Téléphones  : 50 ans 
Carte de crédit  : 28 ans
Télévision  : 22 ans
Internet  : 7 ans
Paypal : 5 ans
Youtube : 4 ans
Facebook: 3 ans
Twitter : 2 ans",3000,651
2023-08-28,MR LE MAIRE,@iam_rockfel,Comment on a pu vivre aussi longtemps sans chat GPT ? Genre comment on faisait ? Aah,13,6
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=21i5zap7fu1og0fr9fvoi1afj4",139,4
2023-08-02,Yyov,@Disiz,"L'IA c'est bien plus que ChatGPT.

L'IA peut t'aider à lancer ton business en quelques clics.

Voici 14 outils IA INDISPENSABLES pour créer ton business en ligne :",139,4
2023-08-03,Yyov,@Disiz,"GPT4 est surpuissant.

Tu peux maintenant créer des apps en 2 minutes à partir de GPT4.

Voici un outil IA pour créer ton app à partir de ChatGPT (gratuitement) :",190,53
2023-08-25,Rislow,@Ecom,"Mes indispensables Q4 2023 :
-Shopify 1e/mois
-FB Ads Library 
-Capcut / Caption
-Kopy
-TrueProfit 
-Wetrack
-Compte Agence FB
- Plan Rat 
- ChatGPT / MagicStudio
- Notion 

Avec ça on imprime le budget du PSG",178,49
2023-08-23,Emilien | ChatBots IA,@Emilien_IA,"Tu en as marre de passer des heures à transformer ton texte en PowerPoint ? 

Utilise Chat GPT pour gagner du temps. ",31,5
2023-08-16,"Harold T, M.D",@haroldtankpinou,"J’ai compris ce qu’était un coup d’état quand j’ai donné toutes les permissions à un autre utilisateur que j’ai créer moi-même via le terminal. 

J’ai perdu le contrôle de mon propre ordinateur.
Eh Seigneur je n’ai jamais autant rallumé et éteint un ordinateur. 

Merci Chat GPT.",28,0
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,11,2
2023-08-29,Yyov,@Disiz,"ChatGPT est nul.

Si tu lui parles comme tu le fais sur Google.

Pourtant c'est l'erreur de la majorité de ses utilisateurs.

Je te montre comment faire pour gagner 7 heures de travail/ semaine grâce à ChatGPT :",194,24
2023-08-17,Rislow,@Ecom,"Stratégie de testing Facebook Ads : 

 SIMPLE ET EFFICACE 

1 CBO - 4 intérêt & 1 broad - 3 creatives ( PHOTO ET VIDEO )

Créative -> Tu prend celle du concurrent 

Intérêts en rapport avec le produit, demande à ChatGPT",94,21
2023-08-25,Haspi,@haspidox,"- Marre
- de 
- vos
- tweet
- Chat
- GPT
- Soyez
- authentique
- ou
- rester
- à
- 200
-  impressions.",24,5
2023-08-12,Nolimit,@Coder,"Pour moi les podcasts de Lex Friedman = ce qui se fait de mieux dans le monde en terme de contenu science et techno

Ca reçoit le 1er mec à avoir hacké la ps3, l'inventeur de Python, de Chatgpt, etc... Tous les invités sont les numero uno dans leurs domaines, 0 bullshit, on kiffe",41,0
2023-08-21,Will Financial Freedom,@WillCtY91,"La reconstruction de l'Ukraine est estimé à 350 millards $. 
Vous y pensez?

Voici quelques entreprises qui pourraient en profiter le mieux selon ChatGPT:

Bouygues
Siemens
Total
ABB",135,18
1970-01-01,IssueWire,@Issuewired,"Angie Wong Whistleblower 
@AngieWong
 investigative findings Published said Stan Fitzgerald Legacy PAC founder
https://issuewire.com/angie-wong-whistleblower-angiewong-investigative-findings-published-said-stan-fitzgerald-legacy-pac-founder-1783720947584288?utm_source=twitter&utm_campaign=iw32781&twclid=22nxpful5fq5bpli1prquxogxi…",172,35
2023-08-15,DYLAN,@Dy_Ndjol,"L’intelligence artificielle qui débarque sur WhatsApp et qui fonctionne avec la technologie de ChatGPT (3.5), c’est super ",490,16
2023-08-07,Rislow,@Ecom,"Adcopy Tips :

1. ChatGPT
2. Prendre l'adcopy du concurrent
3. Prompt "" En tant qu'expert copywriting pour une grande marque de ... 
, améliore cet adcopy. 
4. Colle/Copie/Colle sur ta boutique
5. Teste 

Binks !",204,35
2023-08-28,Batman,@batmanxnv,"Tout ce dont vous avez besoin pour générer au moins 5000€ par mois avec TikTok :

ChatGPT : 20€/Mois
Midjourney : 10€/Mois
Elevenlabs : 1€/Mois
Captions 12€/Mois

Total : 43€/Mois

Vous avez un meilleur business ?",27,3
2023-08-25,Kevin Degila,@kevindegila,"Je continue d’être impressionné par certaines capacités de ChatGPT. Depuis que j’ai l’App sur mon téléphone, je l’utilise beaucoup pour chercher et aussi brainstomer.

Je pense qu’on est encore au tout début de ce qui est possible avec ces modèles.",39,3
2023-08-29,Haspi,@haspidox,"Si tu es authentique et que tu offres de la valeur à ton follower, tu auras forcément des résultats.

Si tu veux gagner du temps en utilisant Chat Gpt pour ta rédaction, tu resteras dans la fosse.",25,6
2023-08-22,Anis Ayari | Defend Intelligence,@DFintelligence,"Trop hâte que la mode des ""vulgarisateurs IA"" qui parlent que de : ""COMMENT DEVENIR ARCHI MILLIARDAIRE SA MERE GRACE A CHATGPT"" prenne fin.

Parce que là jpp.",21,1
1970-01-01,fipaddict,@NA, 1 – Je pense que vous n’imaginez pas les gains de productivité que vous offre ChatGPT maintenant que vous pouvez lui faire manipuler vos fichiers avec Python. Vous avez un assistant personnel pour l’analyse de données… et ça change tout ! Illustration,159,10
2023-08-18,IAdvisor - (Matt),@IAdvisorFR,"ChatGPT est une machine à gagner de l'argent en ligne.

Mais la plupart des gens ne savent pas par où commencer.

Voici 5 façons concrètes de gagner de l'argent en ligne grâce à l'IA ",279,85
2023-08-02,Raniania,@tetedefleur,ma collègue s’est foutue de ma gueule pcq je dis stp et merci à chat gpt quand je lui demande un truc mais you neveeer know ce qui peut se passer.. stay polite,161,40
2023-08-20,Le Dev Novice,@ledevnovice,"Souvent j'utilise ChatGPT juste comme un canard en plastique les ami(e)s codeurs. 

Comme il faut lui fournir un contexte pour qu'il comprenne, le simple fait d'essayer de lui expliquer concrètement et en détail mon problème m'amène à la solution.",35,1
2023-08-30,IAdvisor - (Matt),@IAdvisorFR,"15 outils IA pour les entrepreneurs :

1. InsertChatGPT : Créez votre propre Chatbot

2. Midjourney : Générateur d'art IA

3. ChatGPT : L'assistant personnel ultime

4. SheetAI : Assistant pour Google Sheets

5. Tweet Hunter : Assistant pour Twitter

6. Taplio : Assistant pour…",45,5
2023-08-27,Yass Fox | Ecom,@YassFox," Les Essentiels 

Ce dont tu as besoin pour Scaler et Stabiliser en Ecommerce durable en 2023:

- Gempages
- Paypal
- Theme Motion
- Agent
- Klaviyo
- SMS Bump
- ",23,6
2023-08-26,Yanis,@Think,"Twitter est GRATUIT
ChatGPT est GRATUIT
Système io est GRATUIT
Gumroad est GRATUIT
Canva est GRATUIT
Notion est GRATUIT
Linkedin est GRATUIT
Youtube est GRATUIT

Vous n'avez aucune excuse. Vous avez déjà tout pour réussir.",15,3
2023-08-11,NathanKarthaeuser,@nathandropout,"Ceux qui utilisent ChatGPT pour écrire des threads ou des citations inutiles, vous avez toujours pas compris que c’est cringe à mort ?

Apprenez à écrire par vous-même et surtout apportez de la vraie valeur basée sur votre propre expérience.

Si vous n’avez toujours rien…",36,3
2023-08-24,"Sam, da Oblivion Templar",@OblivionSEOtaku,"Vos mentions légales sont liées sur toutes les pages du site, pourquoi ne pas en profiter pour en faire un distributeur de jus (non ce n'est pas sale.) ??
Voilà comment faire mes gâtés, dites ceci à ChatGPT: ""reecris ces mentions legales en conservant toutes les informations…",39,8
2023-08-26,Efy Saboutey,@efysaboutey,Les experts qui expliquent comment devenir riche grâce à ChatGPT sont souvent incompétents et abusent de votre naïveté,12,3
2023-08-28,Optima,@IAoptima,"Découvre comment maximiser ChatGPT-4 pour ton contenu sur les réseaux 

Tu veux cette leçon GRATUITE ? 

 Like ce post  
 Follow-moi  
 Commente""DM""",19,5
2023-08-26,𝐏𝐞́𝐭𝐚𝐬𝐬𝐞 𝐝𝐞́𝐩𝐫𝐞𝐬𝐬𝐢𝐯𝐞.,@seaweed___,Merci au créateur de ChatGPT car ça fait des mois que j’ai pas écrit un seul e-mail,14,1
2023-08-25,Optima,@IAoptima,"ChatGPT: 90% n'utilisent pas cette fonctionnalité !  

Le Cumul de plugins  

Tu peux en cumuler 3 en même temps  

C'est extrêmement puissant.   

Ca change la vie !",55,32
2023-08-27,Jean Émard,@Jean__Emard,"Voici le genre de travail scolaire qu'un prof pourrait  demander à ses élèves pour éviter que le travail fourni par l'élève soit celui d'une IA.

Prof: « Demandez à ChatGPT de pondre un texte sur le sujet X, et je vous évaluerai sur ""votre critique (en classe)"" de ce texte »",11,0
2023-08-25,Jessica Nono,@jessicanono1,"Comment on faisait avant Chatgpt ?
Je ne me vois plus travailler sans.",28,10
1970-01-01,cawoylel,@NA,Une expérience intéressante avec ChatGPT nous a montré à quel point les modèles d'IA peuvent être inadaptés aux langues africaines. Pourquoi ne pas essayer vous-même ? Demandez à l'IA de générer 10 noms d'animaux en pulaar et partagez vos résultats ! 1/5,8,5
