Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-05-24,Valentin Chambraud,@VChambraud,"ChatGPT est mort.

Les extensions Chrome qui utilisent l'IA sont désormais meilleures que ChatGPT.

Voici 5 nouvelles extensions Chrome pour décupler ta productivité :",921,229
2023-05-04,Sadam..,@bersarkr93_,Je kifferais créer un bot un peu comme chat gpt mais pour l’islam qui te répond à tout avec des preuves ect..,1400,168
1970-01-01,theDeepView,@NA,"ChatGPT has 100,000,000+ users.

But almost NO ONE is using it correctly. Subscribe to the Deep View AI newsletter to learn how for free.",5200,981
2023-05-20,INFOMONEY™,@infomoneypro,"ChatGPT vient de sortir sa plus grande mise à jour.

Il est désormais connecté en temps réel à Internet.

Voici 8 choses qui n'étaient pas possibles sur ChatGPT auparavant (et qui le sont MAINTENANT) :",3300,846
1970-01-01,craca,@NA,"—ChatGPT ...
—QUÉEEEEEEEEEEEEEEEEEEEEE",98,32
2023-05-14,TUGAN BARA,@GulagGlobal,"Besoin d'un nom ? Namelix.

Besoin d'un logo ? MakelogoAI.

Besoin d'un rédacteur ? TuganIA.

Besoin d'un designer ? Midjourney.

Besoin d'un assistant ? ChatGPT.

Besoin d'une baffe dans la gueule ? Tugan.",792,126
2023-05-10,Nicolas Hosotte,@nicolashosotte,"Les gens se font racketter 20€ pour ChatGPT...

Alors qu'on peut l'avoir gratuitement.

Et voici comment en 2 étapes rapides :",3300,846
2023-05-21,Shushant Lakhyani,@shushant_l,"15 AI tools for Twitter influencers:

1. Tweet Hunter
2. ChatGPT
3. Midjourney AI
4. FederAI
5. Flight Path
6. Social Comments GPT
7. Tweetmonk
8. TweetMe
9. AI Social Bio
10. Tweet Assist App
11. TweetEmote
12. Replai
13. Tribescaler
14. Postwise
15. Supermeme AI",98,32
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=259j010htc6afn96ztes34hsww",792,126
2023-05-25,INFOMONEY™,@infomoneypro,"Beaucoup de gens ne le savent pas, mais ChatGPT peut vous aider à apprendre une nouvelle langue.

Vous pouvez en faire votre professeur personnel avec un simple ""prompt"".

Voici comment apprendre une langue facilement à l'aide de ChatGPT :",2300,314
2023-05-11,JEAN ISLAM,@JEANISLAM92,"SAH J'ARRIVE PLUS A TRAVAILLER SANS CHATGPT POUR ECRIRE DES MAILS AU CLIENTS, DES QUE JE SAIS PAS COMMENT LEUR REPONDRE JE VAIS DESSUS JE LUI RACCONTE TOUTE L'HISTOIRE COMME SI CETAIT UN PSYCHOLOGUE ET JE LUI DEMANDE QUOI REPONDRE, IL TROUVE TJRS DES REPONSE GRAVE BIEN FORMULE",257,92
2023-05-03,Ange-Emmanuel.,@Ange_Manou1,J’ai demandé à chatgpt qui a tué Guéï depuis il répond pas,139,4
2023-05-26,rowjayC.O.B,@rowjayCOB,"LA MORT DU RAP GAME EST PROCHE

VOICI 10 PLUGINS CHATGPT QUI VONT SAUVER LE RAP GAME ",2500,508
2023-05-01,WIZNESS,@wiznesspro,"ChatGPT est un outil surpuissant mais personne ne sait l'utiliser correctement...

Copie-colle ces 5 prompts pour gagner du temps et de l'argent ",296,37
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,87,59
2023-05-07,Durand Arnaud,@durandarno,"Ca y est, on y est 3/4 de mes élèves utilisent ChatGPT pour les devoirs-maison... via le robot-AI de Snapchat... il va falloir prendre cette arrivée de l'IA sérieusement dans l'EN.",781,57
