Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-06-21,Yyov,@Disiz,"L'IA ne s'arrêtent pas à ChatGPT

Au cours des 5 derniers jours :

EU AI Act
GPT-Engineer
Meta Voicebox
Assurance IA Adobe
AI Speech Classifier
Google Essayage Virtuel",414,83
2023-06-10,Jenaate,@By,"Vu que j'suis un GRAND malade 

 J'ai passé des jours à tester les +200 plugins de chatGPT !

Voici le descriptif des 82 meilleurs plugins qui vont changer ta vie ! 

[THREAD] en évolution continue ",554,120
1970-01-01,Chat FTW,@ChatFTW,"What upcoming UFC fights are you most excited about?

Ask ChatFTW, an advanced Sports AI: https://chatftw.com/?twclid=2-2q6zf5roy6vlnx99xujn3sz36",601,19
2023-06-21,Le théoricien,@letheoricien228,"Mon patron m’a demandé si j’avais utilisé ChatGPT pour faire le travail. 

Je lui ai répondu que ChatGPT n’était que la partie immergée de l’iceberg",2700,280
2023-06-11,INFOMONEY™,@infomoneypro,"ChatGPT, c'est de l'histoire ancienne.

Les extensions d'IA pour Chrome ouvrent désormais le bal ...

Voici 8 extensions Chrome qui utilisent l'IA pour vous faire économiser des HEURES de travail :",2100,429
2023-06-21,Frenchstartupper,@HuguesTrjs,"Lancer sa boite en 2023 :

Boutique en ligne : Shopify

Email Marketing : Brevo

Automatisations : Zapier

Design : Canva

Communication : Slack

Paiements : Stripe/paypal

SEO : Ahrefs

Pubs : Google Ads

Création de contenu : ",2700,280
2023-06-28,DrSympa229,@LeMedecinSympa,"J'ai fait un pitch au téléphone tout à l'heure pour une demande de partenariat.
Je finis et la personne me demande comment j'ai programmé Chat GPT pour qu'il me genere le texte. 

Je suis choqué 
Mon ego a pris un coup ",2100,429
2023-06-19,Agbomènou Sauvage,@lubaczeus,"Je donne six exercices à résoudre à chatGPT, il résout le premier et me dit d’utiliser cette résolution pour faire les autres. La rébellion de l’IA a déjà commencé.",572,100
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,31,5
2023-06-01,1m88 de Perfection,@1m88deperf,À deux doigts de citer Chat GPT dans les remerciements de mon mémoire,95,19
