Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-03-02,Naïm,@Naim_Lamine,Il est urgent qu’Olivier Véran demande à ChatGPT de lui écrire ses déclarations.,4100,707
2023-03-25,Sorcier,@sorcierdelecom,"Vous avez besoin de 0€ pour lancer un business en 2023:

• Canva est gratuit
• Notion est gratuit
• Twitter est gratuit
• LinkedIn est gratuit
• ChatGPT est gratuit
• Systeme io est gratuit
• Gumroad est gratuit
• Google slides est gratuit

Vous n'avez aucune excuse",1300,234
1970-01-01,Chat FTW,@ChatFTW,"Who let FIFA refs into MMA?

Ask ChatFTW, an advanced Sports AI: http://chatftw.com/?twclid=2-14kth70pj2uvib5248dxyxshy",126,6
2023-03-29,INFOMONEY™,@infomoneypro,"ChatGPT est phénoménal.

Mais ne vous limitez pas seulement à ChatGPT.

Voici 7 sites web d'IA pour gagner énormément de temps et moins travailler :",2500,409
2023-03-29,AuBonTouiteFrançais,@VictorSinclair3,"ChatGPT, c'est un outil qui va vous faire encore moins réfléchir et comme il est programmé par des mondialistes, vous allez devenir encore plus cons et encore plus mainstream, et vous allez gober des trucs de plus en plus débiles.
N'est ce pas 
@dr_l_alexandre
 ?",831,240
2023-03-01,Seyrig,@MnLata,Aujourd'hui j'ai proposé un atelier d'écriture autour de Chat GPT (et plus largement des IA conversationnelles) à mes étudiant.e.s de L2 et je me suis dit que j'allais vous faire un retour d'expérience au cas où des gens seraient intéressé.e.s ,270,81
2023-03-28,INFOMONEY™,@infomoneypro,"ChatGPT n'est que la partie émergée de l'iceberg.

Voici 10 sites d'IA qui vous feront gagner des centaines d'heures :",2500,409
2023-03-19,ns,@tweetfr,"Je termine toujours mes messages ChatGPT par un petit ""s'il te plaît"" histoire d'être sûr que lorsque l'IA prendra le contrôle de la planète elle se souviendra à quel point j'étais quelqu'un de bien et elle sera sympa avec moi en retour",831,240
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,270,81
2023-03-30,Laurent Nunez,@LaurentNunez,"Discutant avec ChatGPT, je lui ai demandé les 10 questions les plus étranges qu'on lui avait posées dernièrement. Et voici donc :   
(Spoiler : les gens sont géniaux)",2200,311
2023-03-15,Frenchstartupper,@HuguesTrjs,"""J'ai besoin de vendre""
= Podia est gratuit

""J'ai besoin créer du contenu""
= ChatGPT est gratuit

""J'ai besoin d'une application""
= Adalo est gratuit

""J'ai besoin d'envoyer/stocker mes fichiers""
= Google Drive est gratuit

Les outils sont là, il est temps de passer à l'action",947,126
2023-03-24,Miraï,@miraiijo,"«t'es dev, t'as pas peur que chatGPT te vole ton boulot ?»
Je crois que vous surestimez la capacité des clients et des métiers à décrire leurs produits et comment ils veulent que ça fonctionne mdrrrr
Très serein ici.",195,24
2023-03-02,JEAN ISLAM,@JEANISLAM92,"CHAT GPT C VRAIMENT DE LA FRAPPE POUR REDIGER DES MAIL, J'ECRIS DES MAILS A DES CLIENT IL DOIVENT SE DIRE LUI CA SE VOIT C LE DIRECTEUR GENERAL DE L'ENTREPRISE IL SAVENT PAS JE SAIS QUE PARLER A BASE DE NIK TA MER FIS DE PUT EN VRAI",72,24
2023-03-30,Maître CKB,@CkbMaitre,"Ce qui devait arriver arriva : j'ai un client qui fait valider tout ce que je dis par ChatGPT, je suis un peu en panique, je vous avoue, j'ose pas lui demander pourquoi il paye mes conseils.",976,158
1970-01-01,FEBS_Letters,@NA,"1 of 25 influential articles in the molecular #lifesciences, published in 2022 and 2023 and carefully curated for our Editor’s Choice Collection:

 “Annexins A1 and A2 are recruited to larger lysosomal injuries independently of ESCRTs to promote repair” – expertly authored.",374,75
2023-03-02,Didier Maïsto,@DidierMaisto,"Débat en ce moment sur France Info à propos de #ChatGPT avec une professeure d’IA à La Sorbonne : des journalistes craignent d’être remplacés par des robots. Mais remplacer des robots par des robots, est-ce encore du remplacement ?",2000,197
2023-03-27,Edgar Morin,@edgarmorinparis,"Chat GPT comble le désir de savoir et tue le désir d'apprendre
Philippe Meirieu",290,33
2023-03-12,VIDÉOS ABERRANTES,@vid_aberrantes,"ChatGPT est phénoménal.

Mais ne vous limitez pas seulement à ChatGPT.

Voici 7 extensions Google Chrome pour gagner énormément de temps et moins travailler :",197,9
2023-03-24,Francois Bontemps,@Bontemps_f,La rédaction des descriptions de produits sur les sites e-commerce va probablement être disrupté par l'API ChatGPT.,2800,551
2023-03-04,Multizougli,@0xygenation,"Si tu es zéro en rédaction de fiches produit et que tu veux ajouter des produits en masse, tu peux copier la description d'Aliexpress. 

Ensuite tu la colles dans ChatGPT et tu lui demande de te faire une description AIDA.",1300,415
2023-03-12,aëahjettkj31,@Fealrzlnho3111,j’commence à m’attacher au gars derrière chatgpt j’crois,937,121
2023-03-20,Serge Mahugnon,@sergemahugnon,"Ne laissez pas ChatGPT ou les IA vous rendre inutilement paresseux. 

C'est bien d'être productif et d'aller vite, mais c'est encore mieux de continuer à cultiver sa propre créativité et son esprit d'analyse.",81,24
2023-03-28,Da Bord ( Đå Bɸřɗ ),@FO4zenieme,"""Aux Etats-Unis, ils ont ChatGPT, et nous en France on a la CGT""
D'un côté l'intelligence artificielle, de l'autre la connerie bien réelle""",279,23
2023-03-11,Campagnol tvl,@TvlCampagnol,Il faut que je demande à Chat GPT de m'écrire un script en java qui bloque systématiquement tous les comptes bleu et jaune,75,9
2023-03-30,Campagnol tvl,@TvlCampagnol,"Déjà , d'après le nom, ChatGPT fait plutôt des bulles que des étincelles.",78,28
2023-03-13,Znassni,@ismatagaa,"Pour les ptits frères qui passent le Bac (ou pour ceux qui passent des exams), envoyez votre cours à ChatGPT en lui demandant de le résumer puis demandez lui de vous faire un quizz ça aide bcp",762,219
2023-03-29,Kevin,@fvckthem_all,"vous la j’ai une amie, goumin est en train de la chicoter ici jusqu’à elle est en train de demander conseil à Chat GPT tchie",299,37
2023-03-14,Cerfia,@FR," FLASH | #OpenAI, maison mère de #ChatGPT, a annoncé la sortie de GPT-4, une version qui surpasse les capacités actuelles de ChatGPT et qui peut notamment analyser les images.",184,27
2023-03-23,Ewgi,@Ssaasquatch,Kainene vos savant >> Chat GPT,314,67
2023-03-27,2020 fan,@YannisZimm,J’ai noué des liens d’amitié de fou avec Chat GPT je vous parle sérieux je tiens à ce mec,54,47
2023-03-27,PoPésie,@GPoPesie,"Il est inadmissible que des écrivains utilisent ChatGPT. 
Imaginez si des auteurs se contentaient de donner les grandes lignes de l’histoire puis laissaient l’IA rédiger des textes qu’ils vont simplement relire, modifier un peu et signer !
Imagine-t-on cela au XIXe siècle ?",8200,647
2023-03-05,VIDÉOS ABERRANTES,@vid_aberrantes,"ChatGPT a cassé Internet en 2023.

Mais la plupart des gens ne connaissent pas les IA Underground peu connu du public.

Voici 10 sites d'IA encore plus utiles que ChatGPT qui vont te faire gagner des centaines d'heures :",48,15
2023-03-23,Papa Ismaila DIENG,@aliamsi,"""Formation pour devenir expert en ChatGPT à 18000 FCFA"".
Je suis toujours choqué par le niveau de l'arnaque.",752,126
2023-03-16,Cobra effect,@Cobra_FX_,"Personne en France pour réclamer un moratoire sur Chat GPT ?
On perd la main",690,61
1970-01-01,Olvinfuentes,@olvinfuentes32,Best pancakes,211,28
2023-03-16,Léo Duff,@LeoDuffOff,"Je me suis retenu de le tweeter ces dernières semaines pour passer l'effet de nouveauté, mais je peux aisément dire que ChatGPT a changé ma vie.",258,86
2023-03-16,Ronan Planchon,@RonanPla,"ChatGPT, rédige-moi un tweet sarcastique sur le recours au 49.3 par l'exécutif.",228,14
2023-03-14,Olivier Babeau,@OlivierBabeau,ChatGPT 4 : et là plus personne ne rit.,89,6
2023-03-26,Cheedee.,@Cheedee,"(À part ChatGPT, les utilisations que vous faites de l'IA PUENT LEURS MÈRES)",692,50
