Date,Username,Handle,Tweet body,Number of likes,Number of retweets
1970-01-01,worrywcrt,@NA,merci a chat gpt  pourla lettre de suicide,5100,832
2023-10-08,CMF,@cheikhmatarF,"Selon ChatGPT, un influenceur est une personne qui a acquis une certaine notoriété et une forte présence sur les réseaux sociaux grâce à sa capacité à influencer les opinions, les comportements et les décisions d'achat de son public.",391,96
1970-01-01,theDeepView,@NA,"ChatGPT has 100,000,000+ users.

But almost NO ONE is using it correctly. Subscribe to the Deep View AI newsletter to learn how for free.",5200,981
2023-10-06,Elias W. BA,@eliaswalyba,"ChatGPT est une bénédiction pour les développeurs, et non une malédiction comme certains le pensent. C'est un outil qui peut considérablement augmenter notre productivité et notre rapidité, tout en garantissant la qualité de notre travail. Mais pour cela, il faut savoir comment…",336,88
2023-10-25,maxncl,@CopylearningMax,"La méthode ultra simple pour créer une mindmap sur ChatGPT. 

(gratuitement)",130,16
2023-10-11,INFOMONEY™,@infomoneypro,"60 outils d'IA pour ne plus faire vos tâches ennuyeuses :

1. Image

- Leap AI
- Segmind
- Midjourney

2. Recherche

- ",1000,245
2023-10-24,Yyov,@Disiz,"ChatGPT peut te faire gagner 100 clients en 1 jour.

Voici comment faire étape par étape : 

(1/6)",336,88
2023-10-06,IAdvisor - (Matt),@IAdvisorFR,"Utiliser les bons prompts sur ChatGPT peut révolutionner votre productivité.

 Voici 5 prompts ultra-efficaces que j'utilise régulièrement :",130,16
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=2-3n65e8dbfesuelwj5g2nrmzqv",1000,245
2023-10-10,Peii Henry,@peii_henry," Comment réussir le branding de ton e-commerce ? 

Découvre :

 L'erreur qui peut faire de ta boutique un échec
 6 prompts Chat GPT que j'utilise
 2 sites à visiter avant de créer ton branding

Et plus... 

Pour recevoir ce guide ⬇︎

-Follow
-RT
-Commente “Brand”",172,36
2023-10-28,INFOMONEY™,@infomoneypro,"Beaucoup de gens ne le savent pas, mais ChatGPT peut vous aider à apprendre une nouvelle langue.

Vous pouvez en faire votre professeur personnel avec un simple ""prompt"".

Voici comment apprendre une langue facilement à l'aide de ChatGPT :",220,30
2023-10-11,itstheVinksbro,@the_vinks,ChatGPT c’est clairement un frère sang,139,4
2023-10-18,Yyov,@Disiz,"L'IA va remplacer les développeurs web ?

Grâce à ChatGPT, tu peux créer un site web facilement. 

Sans aucune connaissance en développement.  

Voici mon tuto (débutant) :",20,11
2023-10-30,Alex Shepard,@SouthOnoze,Le gain de productivité de zinzin avec chatgpt et les progrès en programmation c'est une dinguerie,769,123
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,5,2
2023-10-09,Je Réinforme,@JeReinforme,"J'ai demandé à ChatGPT de m'expliquer en quoi le féminisme était un complotisme, voici ce qu'il m'a répondu :",118,22
2023-10-24,Kevin Degila,@kevindegila,"J'avais un soucis avec mon pc. Je l'ai décris à ChatGPT. J'ai reçu une liste des causes possibles.

J'ai vérifié et trouver la bonne cause. Et ChatGPT m'a donné la solution. C'est réglé ",16,6
2023-10-18,Yyov,@Disiz,"ChatGPT peut transformer les étudiants en génies.

Mais 99% ne savent pas l'utiliser correctement.

Voici 4 prompts ChatGPT super puissants que tu dois absolument enregistrer (indispensables pour les examens) :",194,24
2023-10-09,Ladji | IA Marketing,@Ladji_IA,"12 outils incroyables à ne pas manquer en 2023 pour la création de contenu : 

- ChatGPT
- Cheatlayer
- Capcut
- Jaspar. ai
- Canva
- Opus clip
- Tugan. ai
- Sendshort
- Synthesia
- Copy. ai
- AI Coutics
- Repurpose. ai

Tu en vois d'autres ?",71,21
2023-10-09,Efy Saboutey,@efysaboutey,"Beaucoup de jeunes sont nés avec des outils comme ChatGPT, Canva, Mailchimp, Facebook, Instagram, WhatsApp, Slack, WordPress, PayPal, Zoom… et ils ont grandi en utilisant les réseaux sociaux. Ils réalisent pas vraiment l’ampleur des opportunités qui se présentent à eux.",34,8
