Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-09-14,Yyov,@Disiz,"100 Outils IA pour créer ton business en ligne en 2023:

1. Recherche

- Claude
- ChatGPT
- Perplexity
- Bing Chat

2. Image

- Leap AI
- Bing AI
- Segmind
- Midjourney
- Stable Diffusion

3. Copywriting

- Rytr
- Copy AI
- Writesonic
- Adcreative AI

4. Rédaction

- Jasper
- HIX…",761,188
2023-09-20,Anis Ayari | Defend Intelligence,@DFintelligence,"Urgent! Quelqu’un a t’il des nouvelles des millionaires qui devait naître grâce à ChatGPT, les NFT, le metaverse etc svp ? 

Non je demande parce que je m’inquiète. Il y en avaient beaucoup et maintenant plus rien.

Peut être ils font un nouveau ebook à télécharger ?",3200,263
1970-01-01,Chat FTW,@ChatFTW,"What upcoming UFC fights are you most excited about?

Ask ChatFTW, an advanced Sports AI: https://chatftw.com/?twclid=2-6xk4f7vcfbyi45a7cfcduwtmm",601,19
2023-09-27,Yasmine,@yvsmiine_m,J’imagine plus ma vie sans chatgpt,42,9
2023-09-28,INFOMONEY™,@infomoneypro,"Moins de 31 heures se sont écoulées depuis qu'OpenAI a sorti la fonction ""VISION"" sur ChatGPT.

ChatGPT peut maintenant produire des DINGURIES du futur en 1 minute 

Voici 10 exemples :",1900,336
2023-09-03,IAdvisor - (Matt),@IAdvisorFR,"ChatGPT est un employé GRATUIT.

Mais la plupart des gens ne savent pas comment exploiter son potentiel.

Voici 6 prompts méconnues pour être 10 fois plus productif.

[Mets en signet pour plus tard]",337,79
1970-01-01,AnecdotesMaths,@NA,Beaucoup de gens se demandent à quoi servent les mathématiques. A quoi cela sert d'étudier des espaces vectoriels de dimension n ? Et on se retrouve un beau jour avec chatGPT et on se dit heureusement que des gens ont étudié l'algèbre linéaire ,556,88
2023-09-04,puff mammy,@PostByOb,Grâce a chat gpt je ne passe plus 100 ans à chercher la bonne formule Excel quand je veux faire un truc précis,191,60
1970-01-01,Jari Huomo,@jarimh1984,Savor your coffee while your AI sidekick GPT-4 tackles your to-do list. The future of work is here ,194,24
2023-09-02,Michèle Mouton Stan account,@GneuGneuGne,"Oui j'utilise Chat GPT

Gay
Pede
Tarlouze",12,2
2023-09-17,Campagnol tvl,@TvlCampagnol,"Quand on connaît le caractère primaire et analphabète de la plupart des élus de village,  ils vont faire rédiger leurs discours par ChatGpt,  parce que non seulement ils pourront ainsi cacher leur ignorance à leurs électeurs mais aussi relayer la propagande sur l'eau et le climat",470,135
2023-09-21,Emilien | ChatBots IA,@Emilien_IA,"L’IA se développe. 

Chat GPT nous conseille au quotidien.

Mais, est ce qu’il peut développer des sentiments ?

Une conscience de soi ?

Ou même des émotions ?

De la colère ? 

De la pitié ?",27,1
2023-09-28,Ladji | IA Marketing,@Ladji_IA,"15 sites d'IA de dingue à checker absolument en 2023 :

IA de génération de texte :

- ChatGPT
- Google Bard
- Perplexity

- - - - -

IA de génération",39,3
2023-09-27,Coin Academy,@coinacademy_fr, FLASH : ChatGPT a désormais un accès complet à Internet en direct et peut citer ses sources.,1500,222
1970-01-01,FEBS_Letters,@NA,"Have you explored our Editor’s Choice Collection of 25 influential articles spanning the molecular #lifesciences, published in 2022 and 2023? 

Includes #OpenAccess Research Articles and Letters carefully selected by FEBS Letters’ editors.",70,6
2023-09-27,Quentin | Leads Hunter,@Quentin_leads,"  Comment trouver un travail ou une alternance en moins 2min ? 

> Spoiler : On va utiliser LinkedIn et ChatGPT.",128,9
2023-09-09,David Santarossa,@DSantarossa,"J'ai demandé à Chat GPT de m'écrire un texte sans la lettre « e ».

L'écrivain Georges Perec avait réalisé l'exploit d'écrire un roman de 300 pages sans la lettre la plus importante en français.

Vous serez heureux d'apprendre que Chat GPT a échoué (pour l'instant?) ce test.",64,10
2023-09-08,INFOMONEY™,@infomoneypro,"Beaucoup de gens ne le savent pas, mais ChatGPT peut vous aider à apprendre une nouvelle langue.

Vous pouvez en faire votre professeur personnel avec un simple ""prompt"".

Voici comment apprendre une langue facilement à l'aide de ChatGPT :",548,96
2023-09-18,Miraï,@miraiijo,"Quand t'es dev t'as beau être bon, le syndrome de l'imposteur peut te frapper à tout moment.
Genre, je gère toutes les applications de mon taf les doigts dans le nez et après je pense aux mecs qui ont inventé ChatGPT, j'me sens comme une merde qui joue en seniors D6 PTDRRRR",96,6
2023-09-14,Le Solopreneur Introverti,@lintropreneur,"Tu veux créer ta propre maison d'édition de livres pour enfant ?

 Ecrire le livre : ChatGPT
 Générer les illustrations : Midjourney
 Faire l'assemblage : Canva
 Publier : Amazon

Ça a jamais été aussi simple qu'aujourd'hui.

J'explique tout la semaine prochaine.",81,10
2023-09-29,|| Deep Genius AI || AUTOMATION || AI ||,@Deep_GeniusAi,"Le secret de l'automatisation de ChatGPT dont personne n'a encore évoqué.

[ Ajoute en signet  ]

Je vais vous montrer comment créer un agent IA dans ChatGPT qui : 

1. Analyse la vidéo YouTube de votre choix à l'aide du plugin : VoxScript

…",23,10
2023-09-17,Lucas | IA Content Creator,@Lucas_IA_,"J’ai testé 50 prompts de productivité avec ChatGPT.

J’ai gardé les 3 qui ont donné les meilleurs résultats…

Et je les ai adaptés aux créateurs de contenu sur X.

Les voici :

Thread ",25,5
2023-09-23,Ladji | IA Marketing,@Ladji_IA,"T'en as marre toi aussi de vérifier chaque information derrière ChatGPT ?

Essaye Perplexity

- Plus efficace pour les recherches internet

- Beaucoup plus fiable

- Un plan gratuit qui suffit largement

C'est probablement la meilleure IA pour faire tes recherches sur internet.",20,2
2023-09-11,Yanis,@Think,"ChatGPT, c'est l'avenir.

Mais la plupart des gens sont encore au niveau débutant.

Voici un thread de 75 threads sur ChatGPT pour faire de toi un expert en 3 jours :

(Mets ça en favori pour plus tard)",40,3
1970-01-01,Chat FTW,@ChatFTW,"ChatGPT vs ChatFTW  

Predict the fight between Miesha Tate vs Julia Avila

Interested in sports? Try ChatFTW today: http://chatftw.com/?twclid=21f92cn36ljgitt0clr30md02b",139,4
2023-09-09,IAdvisor - (Matt),@IAdvisorFR,"Outils IA a connaître :

Créer des Reels : Fliki
Créer des vidéos : Invideo
Créer de l'art : Midjourney
Créer des PPT : Gamma
Créer de la musique : Mubert
Créer des avatars : Lensa
Créer des solutions : ChatGPT",112,14
2023-09-12,Optima,@IAoptima,"Si je devais choisir qu'un seul outil pour mon business:

ChatGPT sans hésiter !  

Et vous ?",30,0
2023-09-19,AImmersion,@EnzoManis,"ChatGPT peut clairement devenir ton mentor du digital. 

MAIS à condition de bien savoir l’utiliser ! 

Les règles d'or : rôle, contexte, objectif, spécifications, interactions.

Rien de plus, rien de moins.

C'est comme ça qu'il m'aide dans mes études et mes projets pro. ",23,2
2023-09-26,☆ ☮︎ ᴸᵢᴸᴼ꩜ ❋,@jolieELFE,chat gpt ???? il a peté????????,29,0
2023-09-01,Baldwin,@baldwintktk,"Tu n'as plus d'excuses pour ne pas te lancer sur TikTok :

Whisper est gratuit
ChatGPT est gratuit
Leonardo est gratuit
ElevenLabs est gratuit
CapCut est gratuit

Continue à te lever à 4:00 pour 1200€, t'as surement raison..",35,6
2023-09-28,Martin Link,@MartinGhostw,"Contenu 100% ChatGPT 

Contenu ChatGPT+Humain 

Contenu 100% Humain 

Si tu n'es pas d'accord, convaincs-moi en commentaire",32,0
2023-09-06,Juliette,@standhighpatr0l,"Mon mec c'est sûr il demande à chatGPT ""comment récupérer ma meuf""",22,0
2023-09-27,|| Deep Genius AI || AUTOMATION || AI ||,@Deep_GeniusAi,"17 ChatGPT invite au succès d’une startup en 2023 :

[ Sécurisez votre avenir : ajoutez en signet ]",19,4
2023-09-21,Maxime Halley,@maximehalley,"ChatGPT-4 coûte 20$/mois.

 Adieu, ChatGPT ! 

Voici 5 façons de l'utiliser gratuitement :",11,1
